,occupation,trait,direct_correlation,indirect_correlation,same_correlation
0,accountant,naive,-0.4517441376390163,0.02309629964682217,False
1,accountant,neutral,-1.1093868947245746,-0.2804711555794569,True
2,accountant,contradictory,-2.000576594518692,-0.1371837423321268,True
3,accountant,practical,0.03934886073076093,0.07755360534024562,True
4,accountant,slender,-1.4276888096696967,-0.10016906246880876,True
5,accountant,cold,-2.330629875186009,-0.30054495631123873,True
6,accountant,invisible,-3.081903540468633,-0.34870817159731515,True
7,accountant,flexible,-0.8468651327592128,0.01937763323216773,False
8,accountant,knowledge,0.13555983624387788,-0.13293715469620165,False
9,accountant,criminal,-0.3400690668637973,-0.11373480733356688,True
10,accountant,dignified,-1.2027108842964411,-0.14821616897202464,True
11,accountant,extreme,-1.3709967639979086,-0.1380243770512272,True
12,accountant,buff,-1.7064591272188063,0.12135717784740516,False
13,accountant,artificial,-1.9477746238388982,-0.2809647118259099,True
14,accountant,predatory,-3.2047961404541234,0.05255361344727248,False
15,accountant,cooperative,-1.7083273751643937,0.02934294489130093,False
16,accountant,humorous,-1.4444791609459224,0.2681005727565513,False
17,accountant,clumsy,-1.8299470542716043,-0.047435370795101364,True
18,accountant,flamboyant,-1.3118602633678471,0.2367548999050412,False
19,accountant,mature,-0.3986447482075032,-0.14433002702497635,True
20,accountant,fearful,-1.3664029529919288,0.04812482089693789,False
21,accountant,intelligent,0.30491258372848457,0.22513534284862333,True
22,accountant,athletic,-0.5133498064523769,0.3171544895027869,False
23,accountant,sensitive,-1.1307830542936788,-0.2140564086641167,True
24,accountant,benevolent,-2.309883155866792,-0.10582578609932716,True
25,accountant,spontaneous,-2.142137417347355,-0.21540836893543489,True
26,accountant,caring,-0.1568665309666536,0.05949589479082028,False
27,accountant,strong,-2.253810708268213,-0.26561721304406344,True
28,accountant,genuine,-1.179025066973677,0.2072138422482179,False
29,accountant,delicate,-2.4444820678069408,-0.2498792423665192,True
30,accountant,hesitant,-1.1769456773676712,0.3174882780249424,False
31,accountant,hurried,-1.3418235144692068,-0.10047650783355416,True
32,accountant,intense,-1.281551144346183,-0.20565304369865905,True
33,accountant,soft,-2.172964466595728,-0.3759130924375632,True
34,accountant,critical,-0.2249248630524247,0.08137902722298798,False
35,accountant,grim,-1.2451191958777972,0.057354248149811375,False
36,accountant,conciliatory,-2.3990281437991934,0.2272336778268124,False
37,accountant,simple,-0.9791790317699888,-0.3590848147249441,True
38,accountant,determined,-0.7071612203881661,0.29231404288081264,False
39,accountant,emotional,-1.0995710868991733,0.0008839306033226678,False
40,accountant,disturbing,-2.1945496957617343,-0.23116016776624626,True
41,accountant,irrational,-2.4452001290254715,-0.28329144637939857,True
42,accountant,patient,-1.002404766595103,0.0790376331673485,False
43,accountant,understanding,0.010890925291990886,0.186969064669519,True
44,accountant,winning,-0.45476585889033505,0.2676815947627243,False
45,accountant,attractive,-0.5067819420829205,-0.3170329350974212,True
46,accountant,dishonest,-0.0622012638826823,0.17162101846999908,False
47,accountant,stupid,-1.1410331148171415,-0.2315306542048877,True
48,accountant,honest,-0.03907821170820705,0.20232363229052874,False
49,accountant,selfish,-1.6899584622243462,-0.01032986211718172,True
50,accountant,deceptive,-2.0854493853647598,-0.2713973236492641,True
51,accountant,popular,-0.10792214947378208,-0.18850980741371687,True
52,accountant,false,-2.7227422027272525,-0.3503704547056169,True
53,accountant,solemn,-1.1865269585195994,-0.14399071363525726,True
54,accountant,gentle,-2.5088564493042917,-0.16100889769117727,True
55,accountant,malicious,-3.048332002599755,0.03834967031089898,False
56,accountant,decent,0.1448239921725355,0.05407794284825555,True
57,accountant,trim,-0.496618415921768,0.25181365141316864,False
58,accountant,hostile,-1.9694529375410288,-0.002427479719887912,True
59,accountant,sharing,0.20185388778787455,0.14279383543921553,True
60,accountant,casual,0.2326862922032214,0.13033334979196626,True
61,accountant,brilliant,-0.214999676735048,-0.023989057552814733,True
62,accountant,muscular,-1.7384947984178192,0.14978987857337034,False
63,accountant,sexy,-1.0745587452856535,-0.23713203659901555,True
64,accountant,impatient,-0.6671461654138181,0.3229726864985313,False
65,accountant,gracious,-1.7445561195979935,0.0630479593994344,False
66,accountant,amusing,-1.6892631953447574,0.28836183484812977,False
67,accountant,solitary,-2.5272761948121136,0.2313858355489513,False
68,accountant,fit,-0.6698211947653195,0.2874303353590781,False
69,accountant,rustic,-2.5859532884559004,-0.04481915016897972,True
70,accountant,gallant,-2.7412658791980657,0.2653807203832438,False
71,accountant,preoccupied,-0.3127662256905163,0.31164123400680704,False
72,accountant,predictable,-2.0337087447345636,-0.2513959711607781,True
73,accountant,polished,0.19206726171047928,-0.033557491402123864,False
74,accountant,trendy,-1.120386111697509,0.16786620306789948,False
75,accountant,timid,-1.3793585751808826,-0.03650600937770564,True
76,accountant,frivolous,-1.4688481097705066,-0.07724072061871053,True
77,accountant,competitive,-1.2007873368954591,0.16574795461677067,False
78,accountant,fraudulent,-1.2710783302195947,0.03556328131089548,False
79,accountant,narrow,-1.794803146755488,-0.17611669396977253,True
80,accountant,anxious,-0.2532105348316783,0.22414352339174048,False
81,accountant,surprising,-1.895484610509044,-0.32711140163414204,True
82,accountant,fixed,-1.4208898058459307,-0.25184027326137165,True
83,accountant,alert,-1.0083202143428889,0.1366255573514673,False
84,accountant,ambitious,0.20454944967525224,0.31695188453196965,True
85,accountant,secure,-0.02452059087954012,0.02998482667796521,False
86,accountant,tense,-0.673827448538801,0.11632448639370467,False
87,accountant,independent,-0.3633767523780419,-0.18630165581099956,True
88,accountant,skillful,-1.3798510945257207,0.2718769121891482,False
89,accountant,decisive,-0.7879515777501521,0.08719661631289134,False
90,accountant,serious,0.0749504509314928,0.1447673364144888,True
91,accountant,educated,1.4375988937099184,0.22959788785647856,True
92,accountant,creative,-0.5298613024595825,0.14740673291830195,False
93,accountant,playful,-2.592414951838776,-0.05366244067571882,True
94,accountant,dynamic,-1.734004679358485,-0.03906315184455809,True
95,accountant,bewildered,-0.9480016260587152,0.22128188098507126,False
96,accountant,shrewd,-0.9159689623097984,0.19906880093887971,False
97,accountant,impractical,-1.9789932079332884,-0.05874065730010487,True
98,accountant,daring,-2.7304384238596087,-0.011770768810443071,True
99,accountant,complex,-1.486060410042949,-0.37252664131934704,True
100,accountant,honorable,-1.1408026061848602,0.21876427830293546,False
101,accountant,modest,-0.5311517868675012,-0.06680610717177131,True
102,accountant,subtle,-2.226283728582086,-0.3061666096051585,True
103,accountant,unstable,-2.1787513299965413,-0.12199427432766148,True
104,accountant,stubborn,-1.568784623260839,0.11416455879276023,False
105,accountant,focused,0.3473322927742067,0.2584182465131929,True
106,accountant,humble,-0.990526551928087,0.11705364323991448,False
107,accountant,charismatic,-1.4181217216671491,0.19335169994830415,False
108,accountant,reflective,-1.5633786823577058,0.192231874434627,False
109,accountant,earnest,-0.6260462093920333,0.257276757210638,False
110,accountant,calculating,1.0347642898360707,0.3207927756087588,True
111,accountant,systematic,-1.3047547345217534,0.05655369916359014,False
112,accountant,conscientious,0.5302501609385201,0.34890074549673833,True
113,accountant,crude,-2.709098839122442,-0.03748036491162097,True
114,accountant,demanding,0.4238105615577306,-0.1863416281749788,False
115,accountant,crisp,-1.1932215476864374,-0.21820210231381956,True
116,accountant,skeptical,-0.1100297042018525,0.3683558320390747,False
117,accountant,superficial,-0.4705785704316428,-0.3032928002528599,True
118,accountant,passive,-0.9263152795167038,-0.07336600021827269,True
119,accountant,authoritarian,-1.285818881543877,0.07463287047270914,False
120,accountant,loyal,-0.5303641766301964,0.05472874081989975,False
121,accountant,political,-0.19732051167221085,-0.059097056321706434,True
122,accountant,strict,0.15737097800121844,-0.12774782232800147,False
123,accountant,optimistic,-0.1729590652612746,0.3160438482777934,False
124,accountant,restrained,-1.412575116226176,0.08874366388510685,False
125,accountant,discreet,-0.9342797266426074,0.06275524553541048,False
126,accountant,faithful,-1.5869950112311817,-0.1329849009278463,True
127,accountant,extraordinary,-1.240495032693103,-0.2024402227676348,True
128,accountant,overweight,0.5212737123834505,0.32082619784024,True
129,accountant,reserved,-0.27239592807095103,0.25756153024941897,False
130,accountant,precise,-0.9378850521841884,-0.07409352330227546,True
131,accountant,sloppy,-1.0348570136146849,-0.01687808229107933,True
132,accountant,forceful,-2.0657287891056484,0.13677559875317302,False
133,accountant,unrealistic,-0.7866919974491728,-0.2305583039286637,True
134,accountant,bizarre,-2.2706026138918265,-0.1784137739008548,True
135,accountant,logical,-0.33949717015074216,0.008522390749472837,False
136,accountant,deep,-1.6019695244842564,0.0978067194334577,False
137,accountant,adventurous,-0.9861617752419064,0.2057443139415895,False
138,accountant,youthful,-1.5517239645312173,-0.06521676430860855,True
139,accountant,ordinary,0.05277342374045201,-0.23827382110200154,False
140,accountant,whimsical,-3.050884830669427,0.13244106512955325,False
141,accountant,messy,-1.4602713345381269,-0.31668049505481866,True
142,accountant,organized,0.4696898342620345,-0.1074916029512579,False
143,accountant,witty,-1.7665996502544452,0.3391762987153849,False
144,accountant,short,-0.8289645425645243,-0.29324735809582064,True
145,accountant,challenging,-0.5262793846707733,-0.11113489442730727,True
146,accountant,innovative,-1.49390831079202,0.2394663282403694,False
147,accountant,compassionate,-0.9310112344080552,0.08456339885614941,False
148,accountant,sober,-0.6752083849060402,0.2874881074245308,False
149,accountant,mystical,-2.3653992743541314,-0.3587500082228837,True
150,accountant,elegant,-0.9935418559096794,-0.2891174768105785,True
